Date,Open,High,Low,Close,Adj Close,Volume
1.61589E+12,55905.5,56136,55451,55837.5,55837.5,1035.489
1.61589E+12,55837.5,55900,55163.5,55482,55482,1093.988
1.6159E+12,55482,55623.5,54720,55134,55134,1449.828
1.6159E+12,55134,55912,55077.5,55365,55365,1341.062
1.6159E+12,55365,55750,55268,55686.5,55686.5,730.401
1.61591E+12,55686.5,55919.5,55474,55839,55839,931.898
1.61591E+12,55839,56076,55464,55678,55678,1169.526
1.61591E+12,55678,55835,55028,55272,55272,803.678
1.61592E+12,55272,55672.5,55163,55357,55357,402.032
1.61592E+12,55357,55832.5,55212,55719,55719,362.529
1.61592E+12,55719,56468,55700,56422.5,56422.5,1034.068
1.61593E+12,56422.5,56638,56172,56506,56506,542.831
1.61593E+12,56506,56831,56282,56282,56282,860.421
1.61594E+12,56282,56938,56140,56938,56938,654.316
1.61594E+12,56938,57199,56351,56584.5,56584.5,948.638
1.61594E+12,56584.5,56584.5,56150,56350,56350,612.594
1.61595E+12,56350,56350,55743.5,55915,55915,716.762
1.61595E+12,55905,56208,55512.5,55592,55592,588.246
1.61595E+12,55592,55892.5,55510.5,55647,55647,488.467
1.61596E+12,55647,56000,55269.5,55977.5,55977.5,869.878
1.61596E+12,55977.5,56298,55892.5,56271,56271,916.223
1.61596E+12,56271,56300,55689,55805,55805,907.094
1.61597E+12,55805,56051,55618,55802,55802,789.391
1.61597E+12,55802,55867,54450,54843,54843,1836.501
1.61598E+12,54843,55265,54674.5,55106.5,55106.5,1161.747
1.61598E+12,55106.5,55194.5,54620.5,54855.5,54855.5,981.083
1.61598E+12,54855.5,55411.5,54209,55155.5,55155.5,1990.014
1.61599E+12,55155.5,55379.5,54731.5,55120.5,55120.5,1657.463
1.61599E+12,55120.5,55141,54597,54597.5,54597.5,1347.884
1.61599E+12,54597.5,55230,54360,54951,54951,2061.711
1.616E+12,54951,55602.5,54800,55309.5,55309.5,1538.053
1.616E+12,55309.5,55677,55199.5,55544,55544,834.603
1.616E+12,55544,57618.5,55544,57599.5,57599.5,2639.904
1.61601E+12,57599.5,58224.5,57415,57900,57900,2289.37
1.61601E+12,57900,58345,57745,57745,57745,1568.976
1.61601E+12,57744,58715,57620,58432,58432,1717.263
1.61602E+12,58432,58934,58262.5,58284.5,58284.5,1145.394
1.61602E+12,58323,58940,58322.5,58883,58883,849.974
1.61603E+12,58883,59555,58750,58950.5,58950.5,1465.688
1.61603E+12,58950.5,59328,58804,59050,59050,525.326
1.61603E+12,59050,59268.5,58948,59044,59044,687.689
1.61604E+12,59044,59073,58677,58798.5,58798.5,574.713
1.61604E+12,58798.5,59200,58700,58870,58870,792.237
1.61604E+12,58870,59187.5,58718,59007.5,59007.5,555.724
1.61605E+12,59007.5,59106.5,58771,58968,58968,626.416
1.61605E+12,58968,58968,58250,58442,58442,979.017
1.61605E+12,58442,58570,58066,58120,58120,772.729
1.61606E+12,58120,58500,58071.5,58465,58465,551.993
1.61606E+12,58465,58679.5,58322.5,58540,58540,766.631
1.61607E+12,58540,58571,57954.5,58243,58243,733.492
1.61607E+12,58243,58243.5,57698,58075.5,58075.5,1169.265
1.61607E+12,58075.5,58200.5,57870,57904,57904,619.456
1.61608E+12,57904,58075,57628.5,57932.5,57932.5,1319.607
1.61608E+12,57932.5,59650,57771.5,59538,59538,3136.153
1.61608E+12,59538,60206,59100,59140.5,59140.5,3171.291
1.61609E+12,59140.5,59465,59122,59307.5,59307.5,1260.946
1.61609E+12,59307.5,59336,58082.5,58263.5,58263.5,1851.995
1.61609E+12,58263.5,58476,57295,57398,57398,1599.249
1.6161E+12,57398,57912,57112,57579.5,57579.5,951.331
1.6161E+12,57579.5,58000,57514.5,57933,57933,688.772
1.6161E+12,57933,58128,57659,57659.5,57659.5,1335.092
1.61611E+12,57659.5,58025,57420.5,57686,57686,1125.468
1.61611E+12,57686,57720.5,56366,56929,56929,2120.178
1.61612E+12,56929,57478.5,56769,57445.5,57445.5,700.795
1.61612E+12,57445.5,57834,57282.5,57446,57446,782.446
1.61612E+12,57446,57935,57401.5,57823,57823,560.394
1.61613E+12,57823,58244.5,57695,57878.5,57878.5,880.93
1.61613E+12,57878.5,58350,57635,58332,58332,1271.351
1.61613E+12,58332,58474.5,58009,58123,58123,651.466
1.61614E+12,58123,58330,57766,57803.5,57803.5,571.096
1.61614E+12,57803.5,58568.5,57522,58300.5,58300.5,1569.968
1.61614E+12,58300.5,58858,58264,58365,58365,1167.904
1.61615E+12,58365,58713,58201,58614.5,58614.5,691.073
1.61615E+12,58614.5,58841.5,58490.5,58811.5,58811.5,862.324
1.61616E+12,58811.5,59240,58780,58903.5,58903.5,1699.814
1.61616E+12,58903.5,58905,58155,58345.5,58345.5,1187.518
1.61616E+12,58345.5,58822,58049.5,58752.5,58752.5,1065.567
1.61617E+12,58752.5,59135.5,58563.5,58981,58981,1223.686
1.61617E+12,58981,59183,58669,58863.5,58863.5,960.694
1.61617E+12,58863.5,58965.5,58650,58894.5,58894.5,491.994
1.61618E+12,58894.5,58950,58390,58821,58821,692.645
1.61618E+12,58821,58986,58717,58890,58890,291.985
1.61618E+12,58890,59477,58173.5,58434,58434,1859.87
1.61619E+12,58434,58771,58359.5,58697.5,58697.5,515.453
1.61619E+12,58697.5,58697.5,58334.5,58550.5,58550.5,285.155
1.61619E+12,58550.5,58561.5,58076,58120.5,58120.5,481.63
1.6162E+12,58120.5,58697,57882.5,58669.5,58669.5,1122.98
1.6162E+12,58669.5,58899,58541.5,58770,58770,592.115
1.61621E+12,58770,58925,58496.5,58587.5,58587.5,449.637
1.61621E+12,58587.5,58605,58272,58436,58436,818.628
1.61621E+12,58436,58623,58274,58287,58287,410.186
1.61622E+12,58287,58376,58125,58180,58180,384.658
1.61622E+12,58180,58390,58050,58362,58362,572.158
1.61622E+12,58362,58562.5,58330,58460.5,58460.5,445.998
1.61623E+12,58460.5,58849,58460,58730,58730,796.401
1.61623E+12,58730,58902.5,58641.5,58824,58824,534.209
1.61623E+12,58824,58952,58700.5,58782,58782,437.258
1.61624E+12,58782,59315.5,58750,59264,59264,858.019
1.61624E+12,59264,59348,58830.5,59208.5,59208.5,970.115
1.61625E+12,59208,59900,58715.5,59115.5,59115.5,2799.285
1.61625E+12,59115.5,59430,58864,59424.5,59424.5,1119.325
1.61625E+12,59424.5,59787.5,59083.5,59279,59279,1196.995
1.61626E+12,59279,59335,59000,59121.5,59121.5,682.635
1.61626E+12,59121.5,59347.5,59121.5,59195.5,59195.5,275.53
1.61626E+12,59195.5,59533,59195.5,59249,59249,419.035
1.61627E+12,59249,59469.5,59245.5,59355.5,59355.5,283.471
1.61627E+12,59355.5,59440,58207.5,58631.5,58631.5,1635.858
1.61627E+12,58631.5,58775,58500,58739,58739,459.416
1.61628E+12,58739,58811.5,58440,58570,58570,718.313
1.61628E+12,58570,58570,58102,58184,58184,900.815
1.61628E+12,58184,58629.5,57924.5,58365,58365,874.485
1.61629E+12,58365,58480,58181.5,58249.5,58249.5,431.128
1.61629E+12,58249.5,58249.5,57590,57719.5,57719.5,1055.474
1.6163E+12,57719.5,57900,57545.5,57890,57890,752.219
1.6163E+12,57890,57890,56855.5,57029.5,57029.5,1762.52
1.6163E+12,57029.5,57313,56982,57240.5,57240.5,460.031
1.61631E+12,57240.5,57485,56773.5,57155.5,57155.5,1024.941
1.61631E+12,57155.5,57369.5,57000,57109.5,57109.5,429.525
1.61631E+12,57107,57440,57010,57299.5,57299.5,484.325
1.61632E+12,57299.5,57365,55511.5,56111,56111,2144.526
1.61632E+12,56111,56424,55726.5,56225.5,56225.5,988.965
1.61632E+12,56225.5,56347,55877,56286.5,56286.5,699.174
1.61633E+12,56286.5,56300,55931.5,56174,56174,646.01
1.61633E+12,56174,57309.5,56174,56994,56994,2281.934
1.61634E+12,56994,57283.5,56994,57143.5,57143.5,495.224
1.61634E+12,57143.5,57509,56973.5,57129,57129,885.849
1.61634E+12,57129,57372,56758.5,57233,57233,1082.746
1.61635E+12,57233,57270,57002,57247,57247,258.826
1.61635E+12,57247,57459,57221.5,57384.5,57384.5,395.194
1.61635E+12,57384.5,57669,57384.5,57542.5,57542.5,819.232
1.61636E+12,57542.5,57988,57542.5,57792.5,57792.5,763.093
1.61636E+12,57792.5,58085,57516,58059,58059,505.014
1.61636E+12,58059,58086.5,57589,57646.5,57646.5,550.348
1.61637E+12,57646.5,57795.5,57197,57351,57351,752.477
1.61637E+12,57351,57426,56519,56654,56654,1653.691
1.61637E+12,56654,56778.5,56378.5,56681.5,56681.5,741.243
1.61638E+12,56681.5,57072,56520,56990,56990,616.244
1.61638E+12,56990,57625,56990,57582.5,57582.5,996.85
1.61639E+12,57582.5,57816.5,57453,57610.5,57610.5,602.175
1.61639E+12,57610.5,57766,57340,57627,57627,568.664
1.61639E+12,57627,57896.5,57612,57704,57704,651.588
1.6164E+12,57704,57853.5,57565.5,57642,57642,610.348
1.6164E+12,57642,57720,57186,57285,57285,723.098
1.6164E+12,57285,57441.5,57157,57435.5,57435.5,433.944
1.61641E+12,57435.5,58402.5,57384,57933.5,57933.5,1501.391
1.61641E+12,57933.5,58140,57620,57766,57766,828.477
1.61641E+12,57766,57785.5,56979.5,57380,57380,1433.602
1.61642E+12,57380,57492,56638,57077,57077,1301.501
1.61642E+12,57077,57350,56905,57106.5,57106.5,844.284
1.61643E+12,57106.5,57313,56998.5,57165,57165,578.78
1.61643E+12,57165,57277.5,56272.5,56807.5,56807.5,1520.632
1.61643E+12,56807.5,57196,56667,57127.5,57127.5,561.699
1.61644E+12,57127.5,57196,56450,56610.5,56610.5,552.527
1.61644E+12,56610.5,56630.5,55601,55616.5,55616.5,1389.993
1.61644E+12,55616.5,56082.5,54209,54609.5,54609.5,2392.773
1.61645E+12,54609.5,54988,54391,54650,54650,875.387
1.61645E+12,54650,54666,53675.5,54619.5,54619.5,1750.629
1.61645E+12,54619.5,54866.5,54111,54111,54111,870.855
1.61646E+12,54111,54751.5,53850,54700,54700,904.657
1.61646E+12,54700,55341.5,54564.5,55150,55150,753.689
1.61646E+12,55150,55153,54480,54575.5,54575.5,779.638
1.61647E+12,54575.5,54700,54413,54643,54643,642.483
1.61647E+12,54643,54754.5,54070,54409.5,54409.5,882.346
1.61648E+12,54409.5,54443.5,53141,53569,53569,2167.418
1.61648E+12,53569,53772.5,53029.5,53338,53338,1577.015
1.61648E+12,53338,54241,53338,54159.5,54159.5,1353.565
1.61649E+12,54159.5,54450,53862,54302,54302,918.209
1.61649E+12,54302,54672,54258,54600,54600,593.285
1.61649E+12,54600,54800,54469,54700,54700,488.519
1.6165E+12,54700,54758,54100,54209.5,54209.5,875.1
1.6165E+12,54209.5,55199,54209.5,55069,55069,1315.679
1.6165E+12,55069,55429.5,55069,55250,55250,1128.963
1.61651E+12,55259.5,55368.5,54820,55182,55182,914.256
1.61651E+12,55182,55340.5,55000,55205,55205,510.262
1.61652E+12,55205,55780,54908,55584.5,55584.5,1175.917
1.61652E+12,55584.5,55775,55467,55720,55720,680.736
1.61652E+12,55720,55833,55385,55403,55403,531.466
1.61653E+12,55403,55529.5,54860,55017,55017,754.971
1.61653E+12,55017,55066,54372,54485,54485,599.792
1.61653E+12,54485,54762.5,54260,54689,54689,632.97
1.61654E+12,54689,54920,54425.5,54450.5,54450.5,410.739
1.61654E+12,54450.5,54847,54377.5,54416,54416,484.246
1.61654E+12,54416,54724,53667,53809,53809,1225.011
1.61655E+12,53809,54598,53650,54506.5,54506.5,825.219
1.61655E+12,54506.5,54645,54394.5,54484,54484,468.136
1.61655E+12,54484,54798,54138,54451.5,54451.5,821.136
1.61656E+12,54451.5,54618,54062.5,54183.5,54183.5,665.439
1.61656E+12,54183.5,54345,53886.5,54208.5,54208.5,608.364
1.61657E+12,54208.5,55033,53821.5,54666.5,54666.5,1279.205
1.61657E+12,54666.5,55600,54650,55471,55471,1437.517
1.61657E+12,55471,56282.5,55456,56222.5,56222.5,1422.009
1.61658E+12,56222.5,56632.5,56222.5,56413.5,56413.5,991.043
1.61658E+12,56413.5,56566.5,56023.5,56451,56451,925.338
1.61658E+12,56451,56599,56308,56580.5,56580.5,644.878
1.61659E+12,56580.5,57011,56545.5,56909.5,56909.5,1077.822
1.61659E+12,56909.5,57150,56373,56759,56759,1427.567
1.61659E+12,56759,56885,56452.5,56516,56516,591.224
1.6166E+12,56516,56618,56018,56274,56274,867.491
1.6166E+12,56274.5,56388.5,55831,55843,55843,927.41
1.61661E+12,55843,56399.5,55639.5,56195,56195,986.196
1.61661E+12,56195,56382,55399.5,55399.5,55399.5,703.357
1.61661E+12,55399.5,55581,54721.5,54794.5,54794.5,1467.524
1.61662E+12,54794.5,54794.5,53222.5,54088.5,54088.5,2976.662
1.61662E+12,54088.5,54266,53565.5,53780.5,53780.5,1369.252
1.61662E+12,53780.5,53780.5,51707,52561.5,52561.5,3928.201
1.61663E+12,52561.5,52981,52320,52333,52333,978.065
1.61663E+12,52333,52842,52068,52672,52672,890.824
1.61663E+12,52672,52770.5,51777,51885,51885,1197.59
1.61664E+12,51885,52549.5,51533,52250,52250,2005.724
1.61664E+12,52250,52543,51874,52186.5,52186.5,695.278
1.61664E+12,52186.5,52535,51986,52320.5,52320.5,512.919
1.61665E+12,52320.5,52863,52207,52714,52714,663.878
1.61665E+12,52714,53261,52700,52960,52960,933.218
1.61666E+12,52960,53103,52255.5,52277,52277,938.939
1.61666E+12,52277,52780,52145,52650.5,52650.5,1329.12
1.61666E+12,52650.5,53034,52400.5,52973.5,52973.5,728.422
1.61667E+12,52973.5,53074,52571.5,52937,52937,562.151
1.61667E+12,52937,53123.5,52188.5,52208,52208,1085.067
1.61667E+12,52208,52373.5,50568,51119.5,51119.5,3778.612
1.61668E+12,51119.5,51990,50504,51630,51630,2224.525
1.61668E+12,51630,52065.5,51062,51299,51299,1591.473
1.61668E+12,51299,51514,50673,50977,50977,2121.537
1.61669E+12,50977,51708.5,50571.5,51332,51332,2753.334
1.61669E+12,51332,51817,51140,51639,51639,1108.246
1.6167E+12,51639,52537.5,51502.5,52250,52250,1595.716
1.6167E+12,52250,52311,51660,52190.5,52190.5,834.005
1.6167E+12,52190.5,52669.5,51847,51970,51970,754.072
1.61671E+12,51970,52531.5,51970,52381,52381,547.699
1.61671E+12,52384,52673.5,51604,51753.5,51753.5,909.893
1.61671E+12,51753.5,52058.5,51264,51370,51370,1291.616
1.61672E+12,51370,52263,51294.5,52087.5,52087.5,1100.94
1.61672E+12,52087.5,52369.5,52000.5,52274.5,52274.5,635.907
1.61672E+12,52274.5,52378,51604,51743.5,51743.5,1092.481
1.61673E+12,51743.5,52704.5,51743.5,52412.5,52412.5,1291.127
1.61673E+12,52412.5,52749,52190.5,52672.5,52672.5,941.851
1.61673E+12,52672.5,52875,52524,52776.5,52776.5,638.597
1.61674E+12,52776.5,52821.5,52462.5,52563.5,52563.5,504.881
1.61674E+12,52563.5,53495,52386,53491.5,53491.5,1129.182
1.61675E+12,53491.5,53760,53132.5,53312,53312,1157.9
1.61675E+12,53312,53550,53216,53300,53300,595.442
1.61675E+12,53300,53558.5,53201,53392.5,53392.5,595.168
1.61676E+12,53392.5,53444,52656.5,52773,52773,1143.446
1.61676E+12,52773,53260,52586,53049,53049,811.062
1.61676E+12,53049,53315.5,52813.5,53315.5,53315.5,717.511
1.61677E+12,53315.5,53485,53155,53413.5,53413.5,548.147
1.61677E+12,53413.5,53516,53247.5,53310,53310,537.386
1.61677E+12,53310,54000,52927,53758,53758,1745.249
1.61678E+12,53758,53858.5,53525.5,53810,53810,698.163
1.61678E+12,53810,53891,53460,53664,53664,424.349
1.61679E+12,53664,53750,53512.5,53749,53749,375.756
1.61679E+12,53749,54274,53733.5,53939,53939,1085.191
1.61679E+12,53939,54528.5,53938,54500,54500,587.397
1.6168E+12,54500,54700,54325,54366.5,54366.5,661.951
1.6168E+12,54366.5,55042.5,54301.5,55000,55000,725.622
1.6168E+12,55000,55500,54732.5,54732.5,54732.5,1492.004
1.61681E+12,54732.5,54946,54592.5,54721.5,54721.5,807.863
1.61681E+12,54721.5,54868,54538,54767,54767,407.317
1.61681E+12,54767,54773,54594.5,54734.5,54734.5,415.423
1.61682E+12,54734.5,55191,54662.5,54938,54938,698.601
1.61682E+12,54938,55300,54691,55110,55110,680.94
1.61682E+12,55110,55209,54940.5,54982.5,54982.5,466.351
1.61683E+12,54983,55026,54748,54930.5,54930.5,587.704
1.61683E+12,54930,55110,54670,54876,54876,673.931
1.61684E+12,54876,54985.5,54800,54985.5,54985.5,401.116
1.61684E+12,54985.5,55070,54680,54685,54685,561.709
1.61684E+12,54685,54757.5,54313,54435.5,54435.5,1337.225
1.61685E+12,54435.5,54560,54018.5,54307.5,54307.5,1299.506
1.61685E+12,54307.5,54850,54108.5,54741,54741,1018.91
1.61685E+12,54741,54741.5,54422.5,54650,54650,762.407
1.61686E+12,54650,55002.5,54557,54930.5,54930.5,838.096
1.61686E+12,54930.5,56214,54930,56135,56135,2303.609
1.61686E+12,56135,56244.5,55859.5,56100,56100,1052.82
1.61687E+12,56100,56100,55587,55771,55771,963.98
1.61687E+12,55771,55905.5,55669,55827.5,55827.5,381.618
1.61688E+12,55827.5,55922,55745.5,55908.5,55908.5,447.865
1.61688E+12,55908.5,56665.5,55745.5,56435,56435,750.804
1.61688E+12,56435,56539,56084.5,56397,56397,657.183
1.61689E+12,56397,56449,55770,55859.5,55859.5,697.94
1.61689E+12,55859.5,56100,55613.5,56026.5,56026.5,701.699
1.61689E+12,56026.5,56180.5,55820,56100,56100,495.514
1.6169E+12,56100,56107.5,55802,55827,55827,374.562
1.6169E+12,55827,56145,55805,56062.5,56062.5,315.088
1.6169E+12,56062.5,56440,56062.5,56249,56249,807.284
1.61691E+12,56249,56372,56137,56250.5,56250.5,596.883
1.61691E+12,56250.5,56274,55862.5,55948.5,55948.5,571.07
1.61691E+12,55948.5,56234,55893.5,56182,56182,462.065
1.61692E+12,56182,56273,56018.5,56273,56273,451.583
1.61692E+12,56273,56511,56051.5,56118.5,56118.5,871.519
1.61693E+12,56118.5,56191.5,55751,56103.5,56103.5,739.028
1.61693E+12,56103.5,56103.5,55840,55844.5,55844.5,431.27
1.61693E+12,55844.5,56000,55361,55550,55550,1241.023
1.61694E+12,55550,55880,55508,55755,55755,573.158
1.61694E+12,55755,55840,55520,55821,55821,588.126
1.61694E+12,55821,56395,55717.5,56371.5,56371.5,1342.647
1.61695E+12,56371.5,56494.5,56039,56281.5,56281.5,875.321
1.61695E+12,56281.5,56290,55843,56024.5,56024.5,480.383
1.61695E+12,56024.5,56024.5,55237,55271.5,55271.5,1059.961
1.61696E+12,55271.5,55419.5,54741.5,55239,55239,1340.159
1.61696E+12,55239,55239,54840,54896,54896,721.873
1.61697E+12,54896,55342,54875,55166.5,55166.5,533.728
1.61697E+12,55166.5,55649,55063,55624,55624,587.07
1.61697E+12,55624,55842.5,55549.5,55760,55760,555.309
1.61698E+12,55760,55882,55315.5,55414,55414,810.935
1.61698E+12,55414,55506.5,55051,55276,55276,657.724
1.61698E+12,55276,55541,55232,55390.5,55390.5,472.071
1.61699E+12,55390.5,55554,55350,55409.5,55409.5,250.176
1.61699E+12,55409.5,55517,55185,55370.5,55370.5,442.077
1.61699E+12,55370.5,55443,55006,55127,55127,555.276
1.617E+12,55127,55491,55126.5,55415.5,55415.5,577.253
1.617E+12,55415.5,56130,55407,55939.5,55939.5,1264.924
1.617E+12,55939.5,57209,55939,57085.5,57085.5,2104.859
1.61701E+12,57085,58220,56971.5,57918,57918,2585.157
1.61701E+12,57918,58294,57783,57989.5,57989.5,1229.747
1.61702E+12,57989.5,58065,57614.5,57829.5,57829.5,812.987
1.61702E+12,57829.5,58450,57806,58084,58084,1357.302
1.61702E+12,58084,58210,57843,57984,57984,852.059
1.61703E+12,57984,58181.5,57885,58128.5,58128.5,647.469
1.61703E+12,58128.5,58170.5,57268,57700,57700,2087.737
1.61703E+12,57700,57854,57220,57665,57665,1369.544
1.61704E+12,57665,58360.5,57652,57978,57978,941.493
1.61704E+12,57978,58077,57651,57856,57856,544.712
1.61704E+12,57856,57889,57514.5,57744.5,57744.5,610.835
1.61705E+12,57744.5,57780,57200,57359,57359,480.615
1.61705E+12,57359,57720,57320.5,57642.5,57642.5,359.22
1.61706E+12,57642.5,57958.5,57592,57850.5,57850.5,435.715
1.61706E+12,57850.5,57850.5,57404,57709.5,57709.5,352.775
1.61706E+12,57709.5,57807,57512.5,57640,57640,433.323
1.61707E+12,57640,57660,57363,57505,57505,536.022
1.61707E+12,57505,57523.5,57300,57428,57428,337.841
1.61707E+12,57428,57451,57260,57290,57290,322.545
1.61708E+12,57290,57907.5,57201,57683,57683,741.663
1.61708E+12,57683,57757,57510,57756.5,57756.5,338.803
1.61708E+12,57756.5,58337,57637,58147,58147,919.593
1.61709E+12,58147,58350,58065,58180,58180,600.486
1.61709E+12,58180,58262.5,57851,58041.5,58041.5,705.475
1.61709E+12,58041.5,59000,57965.5,58979.5,58979.5,1398.785
1.6171E+12,58979.5,59442,58691.5,58929,58929,1831.551
1.6171E+12,58929.5,59294.5,58920,59294.5,59294.5,639.781
1.61711E+12,59294.5,59422,59088,59167,59167,810.703
1.61711E+12,59167,59262,58853,58937,58937,1133.528
1.61711E+12,58937,59003,58651.5,58899.5,58899.5,999.82
1.61712E+12,58899.5,58962.5,58569,58582,58582,851.589
1.61712E+12,58582,58873,58563.5,58778.5,58778.5,588.929
1.61712E+12,58778.5,58930.5,58748,58772.5,58772.5,298.603
1.61713E+12,58772.5,59183.5,58772.5,58899.5,58899.5,649.497
1.61713E+12,58899.5,59116,58789.5,59109,59109,295.394
1.61713E+12,59109,59126.5,58452,58690,58690,663.207
1.61714E+12,58690,58890,58635.5,58791,58791,269.982
1.61714E+12,58791,58937,58723,58755,58755,274.533
1.61715E+12,58755,58790,58620,58742,58742,437.826
1.61715E+12,58742,59043,58680.5,59027.5,59027.5,823.328
